Jahr;Land;ISO 3166;Region;Konfliktstufe;;;;;;;
2007;Tschad;TCD;Sub-Sahara Afrika;4;;;;;;;
2008;Tschad;TCD;Sub-Sahara Afrika;5;;;;;;;
2009;Tschad;TCD;Sub-Sahara Afrika;4;;;;;;;
2012;Tschad;TCD;Sub-Sahara Afrika;4;;;;;;;
2011;Tunesien;TUN;MENA;4;;;;;;;
2013;Tunesien;TUN;MENA;4;;;;;;;
1998;Türkei;TUR;MENA;5;;;;;;;
1999;Türkei;TUR;MENA;4;;;;;;;
2000;Türkei;TUR;MENA;4;;;;;;;
2001;Türkei;TUR;MENA;4;;;;;;;
2005;Türkei;TUR;MENA;4;;;;;;;
2006;Türkei;TUR;MENA;4;;;;;;;
2007;Türkei;TUR;MENA;4;;;;;;;
2008;Türkei;TUR;MENA;5;;;;;;;
2009;Türkei;TUR;MENA;4;;;;;;;
2010;Türkei;TUR;MENA;4;;;;;;;
2011;Türkei;TUR;MENA;5;;;;;;;
2012;Türkei;TUR;MENA;5;;;;;;;
2013;Türkei;TUR;MENA;4;;;;;;;
1998;Uganda;UGA;Sub-Sahara Afrika;4;;;;;;;
1999;Uganda;UGA;Sub-Sahara Afrika;4;;;;;;;
2000;Uganda;UGA;Sub-Sahara Afrika;4;;;;;;;
2001;Uganda;UGA;Sub-Sahara Afrika;4;;;;;;;
2002;Uganda;UGA;Sub-Sahara Afrika;5;;;;;;;
2003;Uganda;UGA;Sub-Sahara Afrika;5;;;;;;;
2004;Uganda;UGA;Sub-Sahara Afrika;4;;;;;;;
2005;Uganda;UGA;Sub-Sahara Afrika;4;;;;;;;
2009;Uganda;UGA;Sub-Sahara Afrika;4;;;;;;;
2010;Uganda;UGA;Sub-Sahara Afrika;4;;;;;;;
2011;Uganda;UGA;Sub-Sahara Afrika;4;;;;;;;
2013;Uganda;UGA;Sub-Sahara Afrika;4;;;;;;;
2000;USA;USA;Amerika;4;;;;;;;
2001;USA;USA;Amerika;5;;;;;;;
2002;USA;USA;Amerika;4;;;;;;;
2003;USA;USA;Amerika;5;;;;;;;
1999;Usbekistan;UZB;Asien/Ozenanien;4;;;;;;;
2000;Usbekistan;UZB;Asien/Ozenanien;4;;;;;;;
2002;Venezuela;VEN;Amerika;4;;;;;;;
2001;Zentralafrikanische Republik;CAF;Sub-Sahara Afrika;4;;;;;;;
2002;Zentralafrikanische Republik;CAF;Sub-Sahara Afrika;4;;;;;;;
2003;Zentralafrikanische Republik;CAF;Sub-Sahara Afrika;5;;;;;;;
2006;Zentralafrikanische Republik;CAF;Sub-Sahara Afrika;4;;;;;;;
2007;Zentralafrikanische Republik;CAF;Sub-Sahara Afrika;4;;;;;;;
2012;Zentralafrikanische Republik;CAF;Sub-Sahara Afrika;4;;;;;;;
2013;Zentralafrikanische Republik;CAF;Sub-Sahara Afrika;5;;;;;;;
